# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "1" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/L4C.r1.gsnap_reads.tab" "-F" "GTF" "aln/L4C.r1.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/L4C.r1.gsnap.bam
CLUG_00001	Supercontig_1.1	1941	3782	+	1842	7408
CLUG_00002	Supercontig_1.1	3922	5346	+	1425	2996
CLUG_00003	Supercontig_1.1	5729	7495	+	1767	2527
CLUG_00004	Supercontig_1.1	8045	9796	+	1752	7783
CLUG_00005	Supercontig_1.1	10224	11336	-	1113	1967
CLUG_00006	Supercontig_1.1	11347	12300	-	954	1435
CLUG_00007	Supercontig_1.1	13298	14620	+	1323	1399
CLUG_00008	Supercontig_1.1	14654	15757	-	1104	563
CLUG_00009	Supercontig_1.1	15879	16751	+	873	677
CLUG_00010	Supercontig_1.1	16801	17550	-	750	488
CLUG_00011	Supercontig_1.1	18010	19812	+	1803	1326
CLUG_00012	Supercontig_1.1	19812	21224	+	1413	687
CLUG_00013	Supercontig_1.1	21332	22849	-	1518	1062
CLUG_00014	Supercontig_1.1	22958	24043	+	1086	563
CLUG_00015	Supercontig_1.1	24260	25897	+	1638	121
CLUG_00016	Supercontig_1.1	26120	27070	+	951	944
CLUG_00017	Supercontig_1.1	27222	28229	+	1008	2817
CLUG_00018	Supercontig_1.1	28494	29960	+	1467	97443
CLUG_00019	Supercontig_1.1	30601	31695	+	1095	1651
CLUG_00020	Supercontig_1.1	32233	33246	+	1014	635
CLUG_00021	Supercontig_1.1	33362	33796	+	435	1423
CLUG_00022	Supercontig_1.1	33909	34898	-	990	4308
CLUG_00023	Supercontig_1.1	35244	35696	+	453	7757
CLUG_00024	Supercontig_1.1	35948	36613	-	666	2615
CLUG_00025	Supercontig_1.1	37855	39225	-	1371	965
CLUG_00026	Supercontig_1.1	39390	43595	-	4206	1350
CLUG_00027	Supercontig_1.1	46451	48148	+	1698	1120
CLUG_00028	Supercontig_1.1	49448	50305	-	858	31
CLUG_00029	Supercontig_1.1	51090	52448	+	1359	1956
CLUG_00030	Supercontig_1.1	53513	54106	-	594	10513
CLUG_00031	Supercontig_1.1	55204	55410	+	207	247
CLUG_00032	Supercontig_1.1	57033	58259	+	1227	2525
CLUG_00033	Supercontig_1.1	58955	59665	+	711	549
CLUG_00034	Supercontig_1.1	59720	62110	-	2391	18886
CLUG_00035	Supercontig_1.1	62254	65070	-	2817	4022
CLUG_00036	Supercontig_1.1	65219	70888	-	5670	3308
CLUG_00037	Supercontig_1.1	71277	72500	-	1224	1831
CLUG_00038	Supercontig_1.1	73589	74386	+	798	617
CLUG_00039	Supercontig_1.1	74478	75668	-	1191	1174
CLUG_00040	Supercontig_1.1	77018	77572	+	555	204
CLUG_00041	Supercontig_1.1	77926	79305	+	1380	1513
CLUG_00042	Supercontig_1.1	79518	80606	+	1089	1295
CLUG_00043	Supercontig_1.1	80669	83119	-	2451	2046
CLUG_00044	Supercontig_1.1	83319	85826	-	2508	2595
CLUG_00045	Supercontig_1.1	86480	87139	+	660	603
CLUG_00046	Supercontig_1.1	87311	88528	+	1218	996
CLUG_00047	Supercontig_1.1	89098	90540	+	1443	7002
CLUG_00048	Supercontig_1.1;Supercontig_1.1	90642;91941	91842;91987	-;-	1248	10838
CLUG_00049	Supercontig_1.1	93538	95214	+	1677	7403
CLUG_00050	Supercontig_1.1	95331	96704	-	1374	2109
CLUG_00051	Supercontig_1.1	97038	98015	-	978	1363
CLUG_00052	Supercontig_1.1	98258	102493	-	4236	6489
CLUG_00053	Supercontig_1.1	102696	104180	-	1485	1845
CLUG_00054	Supercontig_1.1	104304	105779	-	1476	1521
CLUG_00055	Supercontig_1.1	106314	107369	+	1056	5660
CLUG_00056	Supercontig_1.1	107653	109821	+	2169	1260
CLUG_00057	Supercontig_1.1	110452	112080	+	1629	3019
CLUG_00058	Supercontig_1.1	112228	113157	-	930	1829
CLUG_00059	Supercontig_1.1	113380	114096	+	717	711
CLUG_00060	Supercontig_1.1	114559	115602	+	1044	1672
CLUG_00061	Supercontig_1.1	116880	117839	+	960	1380
CLUG_00062	Supercontig_1.1	118750	119919	+	1170	919
CLUG_00063	Supercontig_1.1	120278	123799	+	3522	3818
CLUG_00064	Supercontig_1.1	124132	125001	-	870	1208
CLUG_00065	Supercontig_1.1	125255	126289	+	1035	665
CLUG_00066	Supercontig_1.1	126582	128840	-	2259	1843
CLUG_00067	Supercontig_1.1	128909	129421	-	513	556
CLUG_00068	Supercontig_1.1	129984	131234	-	1251	685
CLUG_00069	Supercontig_1.1	132734	134023	+	1290	1941
CLUG_00070	Supercontig_1.1	134173	134976	+	804	547
CLUG_00071	Supercontig_1.1	135107	136420	+	1314	1673
CLUG_00072	Supercontig_1.1	136494	138644	-	2151	5724
CLUG_00073	Supercontig_1.1	140487	144779	-	4293	11526
CLUG_00074	Supercontig_1.1	145275	146633	-	1359	5383
CLUG_00075	Supercontig_1.1	147130	148119	-	990	5309
CLUG_00076	Supercontig_1.1	148071	148763	-	693	2540
CLUG_00077	Supercontig_1.1	150607	152544	+	1938	8470
CLUG_00078	Supercontig_1.1	153833	154918	+	1086	8094
CLUG_00079	Supercontig_1.1	155064	155483	-	420	391
CLUG_00080	Supercontig_1.1	155917	157935	+	2019	3780
CLUG_00081	Supercontig_1.1	157970	159511	-	1542	3370
CLUG_00082	Supercontig_1.1	159707	161170	-	1464	2385
CLUG_00083	Supercontig_1.1	161919	163499	+	1581	2519
CLUG_00084	Supercontig_1.1	163680	164471	+	792	798
CLUG_00085	Supercontig_1.1	164579	165301	-	723	1599
CLUG_00086	Supercontig_1.1	165317	166945	-	1629	14888
CLUG_00087	Supercontig_1.1	167980	169956	-	1977	1662
CLUG_00088	Supercontig_1.1	170176	173421	-	3246	2479
CLUG_00089	Supercontig_1.1	173775	175991	+	2217	1925
CLUG_00090	Supercontig_1.1	176125	177135	-	1011	6550
CLUG_00091	Supercontig_1.1	178140	179099	-	960	650
CLUG_00092	Supercontig_1.1	179594	180043	+	450	2403
CLUG_00093	Supercontig_1.1	180843	182039	+	1197	4353
CLUG_00094	Supercontig_1.1	182979	183533	+	555	1791
CLUG_00095	Supercontig_1.1	184149	185657	+	1509	1953
CLUG_00096	Supercontig_1.1	185706	186737	-	1032	2250
CLUG_00097	Supercontig_1.1	187035	189725	-	2691	5801
CLUG_00098	Supercontig_1.1	190594	191991	-	1398	1460
CLUG_00099	Supercontig_1.1	192896	194734	+	1839	6462
CLUG_00100	Supercontig_1.1	195003	195854	-	852	450
CLUG_00101	Supercontig_1.1	196468	197757	-	1290	1452
CLUG_00102	Supercontig_1.1	198246	198767	+	522	1536
CLUG_00103	Supercontig_1.1	200067	200873	+	807	2072
CLUG_00104	Supercontig_1.1	200940	201509	-	570	627
CLUG_00105	Supercontig_1.1	203136	204797	+	1662	1063
CLUG_00106	Supercontig_1.1	205480	208425	+	2946	1529
CLUG_00107	Supercontig_1.1	208472	209161	-	690	864
CLUG_00108	Supercontig_1.1	209527	210027	-	501	527
CLUG_00109	Supercontig_1.1	210910	212751	-	1842	117
CLUG_00110	Supercontig_1.1	213068	213562	+	495	1106
CLUG_00111	Supercontig_1.1	213572	215308	-	1737	2287
CLUG_00112	Supercontig_1.1	218337	218957	-	621	5237
CLUG_00113	Supercontig_1.1	219483	220376	-	894	1983
