# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "1" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/U10D.r1.gsnap_reads.tab" "-F" "GTF" "aln/U10D.r1.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/U10D.r1.gsnap.bam
CLUG_00001	Supercontig_1.1	1941	3782	+	1842	3866
CLUG_00002	Supercontig_1.1	3922	5346	+	1425	1500
CLUG_00003	Supercontig_1.1	5729	7495	+	1767	1126
CLUG_00004	Supercontig_1.1	8045	9796	+	1752	6118
CLUG_00005	Supercontig_1.1	10224	11336	-	1113	1093
CLUG_00006	Supercontig_1.1	11347	12300	-	954	669
CLUG_00007	Supercontig_1.1	13298	14620	+	1323	832
CLUG_00008	Supercontig_1.1	14654	15757	-	1104	365
CLUG_00009	Supercontig_1.1	15879	16751	+	873	372
CLUG_00010	Supercontig_1.1	16801	17550	-	750	329
CLUG_00011	Supercontig_1.1	18010	19812	+	1803	751
CLUG_00012	Supercontig_1.1	19812	21224	+	1413	194
CLUG_00013	Supercontig_1.1	21332	22849	-	1518	592
CLUG_00014	Supercontig_1.1	22958	24043	+	1086	505
CLUG_00015	Supercontig_1.1	24260	25897	+	1638	166
CLUG_00016	Supercontig_1.1	26120	27070	+	951	721
CLUG_00017	Supercontig_1.1	27222	28229	+	1008	2205
CLUG_00018	Supercontig_1.1	28494	29960	+	1467	68658
CLUG_00019	Supercontig_1.1	30601	31695	+	1095	1663
CLUG_00020	Supercontig_1.1	32233	33246	+	1014	290
CLUG_00021	Supercontig_1.1	33362	33796	+	435	968
CLUG_00022	Supercontig_1.1	33909	34898	-	990	2721
CLUG_00023	Supercontig_1.1	35244	35696	+	453	6105
CLUG_00024	Supercontig_1.1	35948	36613	-	666	1537
CLUG_00025	Supercontig_1.1	37855	39225	-	1371	554
CLUG_00026	Supercontig_1.1	39390	43595	-	4206	827
CLUG_00027	Supercontig_1.1	46451	48148	+	1698	1657
CLUG_00028	Supercontig_1.1	49448	50305	-	858	41
CLUG_00029	Supercontig_1.1	51090	52448	+	1359	1948
CLUG_00030	Supercontig_1.1	53513	54106	-	594	7601
CLUG_00031	Supercontig_1.1	55204	55410	+	207	320
CLUG_00032	Supercontig_1.1	57033	58259	+	1227	3279
CLUG_00033	Supercontig_1.1	58955	59665	+	711	532
CLUG_00034	Supercontig_1.1	59720	62110	-	2391	17065
CLUG_00035	Supercontig_1.1	62254	65070	-	2817	2939
CLUG_00036	Supercontig_1.1	65219	70888	-	5670	2047
CLUG_00037	Supercontig_1.1	71277	72500	-	1224	1297
CLUG_00038	Supercontig_1.1	73589	74386	+	798	783
CLUG_00039	Supercontig_1.1	74478	75668	-	1191	497
