# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "2" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/L4C_benomyl.r1.gsnap_frags.tab" "-F" "GTF" "-p" "aln/L4C_benomyl.r1.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/L4C_benomyl.r1.gsnap.bam
CLUG_00001	Supercontig_1.1	1941	3782	+	1842	2612
CLUG_00002	Supercontig_1.1	3922	5346	+	1425	271
CLUG_00003	Supercontig_1.1	5729	7495	+	1767	225
CLUG_00004	Supercontig_1.1	8045	9796	+	1752	111
CLUG_00005	Supercontig_1.1	10224	11336	-	1113	173
CLUG_00006	Supercontig_1.1	11347	12300	-	954	85
CLUG_00075	Supercontig_1.1	147130	148119	-	990	66322
CLUG_00076	Supercontig_1.1	148071	148763	-	693	14426
CLUG_00077	Supercontig_1.1	150607	152544	+	1938	3855
CLUG_00078	Supercontig_1.1	153833	154918	+	1086	2904
CLUG_00079	Supercontig_1.1	155064	155483	-	420	60
CLUG_00080	Supercontig_1.1	155917	157935	+	2019	648
CLUG_00081	Supercontig_1.1	157970	159511	-	1542	930
CLUG_00082	Supercontig_1.1	159707	161170	-	1464	781
CLUG_00083	Supercontig_1.1	161919	163499	+	1581	678
CLUG_00084	Supercontig_1.1	163680	164471	+	792	399
CLUG_00085	Supercontig_1.1	164579	165301	-	723	52575
CLUG_00086	Supercontig_1.1	165317	166945	-	1629	21654
CLUG_00087	Supercontig_1.1	167980	169956	-	1977	25201
CLUG_00088	Supercontig_1.1	170176	173421	-	3246	560
CLUG_00089	Supercontig_1.1	173775	175991	+	2217	505
CLUG_00090	Supercontig_1.1	176125	177135	-	1011	1377
CLUG_00091	Supercontig_1.1	178140	179099	-	960	305
CLUG_00092	Supercontig_1.1	179594	180043	+	450	514
CLUG_00093	Supercontig_1.1	180843	182039	+	1197	6408
CLUG_00094	Supercontig_1.1	182979	183533	+	555	591
CLUG_00095	Supercontig_1.1	184149	185657	+	1509	307
CLUG_00096	Supercontig_1.1	185706	186737	-	1032	347
CLUG_00097	Supercontig_1.1	187035	189725	-	2691	143
CLUG_00098	Supercontig_1.1	190594	191991	-	1398	67
CLUG_00099	Supercontig_1.1	192896	194734	+	1839	1474
CLUG_00100	Supercontig_1.1	195003	195854	-	852	32
CLUG_00101	Supercontig_1.1	196468	197757	-	1290	115
CLUG_00102	Supercontig_1.1	198246	198767	+	522	159
CLUG_00103	Supercontig_1.1	200067	200873	+	807	403
CLUG_00104	Supercontig_1.1	200940	201509	-	570	60
CLUG_00105	Supercontig_1.1	203136	204797	+	1662	302
CLUG_00106	Supercontig_1.1	205480	208425	+	2946	91
CLUG_00107	Supercontig_1.1	208472	209161	-	690	34
CLUG_00108	Supercontig_1.1	209527	210027	-	501	2577
CLUG_00109	Supercontig_1.1	210910	212751	-	1842	1696
CLUG_00110	Supercontig_1.1	213068	213562	+	495	94
CLUG_00111	Supercontig_1.1	213572	215308	-	1737	553
CLUG_00112	Supercontig_1.1	218337	218957	-	621	1350
CLUG_00113	Supercontig_1.1	219483	220376	-	894	895
CLUG_00114	Supercontig_1.1	220901	221587	+	687	1391
CLUG_00115	Supercontig_1.1	220922	221587	-	666	216
CLUG_00116	Supercontig_1.1	222258	225437	+	3180	363
CLUG_00117	Supercontig_1.1	225983	228367	-	2385	656
CLUG_00118	Supercontig_1.1	228655	230724	-	2070	4408
CLUG_00119	Supercontig_1.1	231288	232178	+	891	147
CLUG_00120	Supercontig_1.1	232513	233979	+	1467	173
CLUG_00121	Supercontig_1.1	234184	236247	-	2064	8312
CLUG_00122	Supercontig_1.1	236768	237784	-	1017	201
CLUG_00123	Supercontig_1.1	238263	239360	-	1098	7547
CLUG_00124	Supercontig_1.1	241828	244869	+	3042	1474
CLUG_00125	Supercontig_1.1	244995	245465	-	471	354
CLUG_00126	Supercontig_1.1	245577	246428	+	852	231
CLUG_00127	Supercontig_1.1	246558	247358	-	801	172
CLUG_00128	Supercontig_1.1	247433	248101	+	669	130
CLUG_00129	Supercontig_1.1	248448	249200	+	753	488
CLUG_00130	Supercontig_1.1	249616	250155	-	540	2298
CLUG_00131	Supercontig_1.1	250662	253643	+	2982	483
CLUG_00132	Supercontig_1.1	253870	254721	+	852	240
CLUG_00133	Supercontig_1.1	254840	255403	+	564	338
CLUG_00134	Supercontig_1.1	256301	257464	-	1164	4529
CLUG_00135	Supercontig_1.1	257911	261987	-	4077	17606
CLUG_00136	Supercontig_1.1	262184	263068	-	885	11245
CLUG_00137	Supercontig_1.1	263192	264289	-	1098	53371
CLUG_00138	Supercontig_1.1	265160	266776	+	1617	4114
CLUG_00139	Supercontig_1.1	268882	270564	+	1683	247
CLUG_00140	Supercontig_1.1	270764	271351	+	588	755
CLUG_00141	Supercontig_1.1	271378	273213	-	1836	1327
CLUG_00142	Supercontig_1.1	273503	276331	+	2829	568
CLUG_00143	Supercontig_1.1	276397	279642	+	3246	165
CLUG_00144	Supercontig_1.1	279763	281226	+	1464	714
CLUG_00145	Supercontig_1.1	281556	282338	+	783	246
CLUG_00146	Supercontig_1.1	282498	282935	-	438	40
CLUG_00147	Supercontig_1.1	283043	284203	+	1161	43
CLUG_00148	Supercontig_1.1	284825	285040	+	216	5642
CLUG_00149	Supercontig_1.1	286408	289902	+	3495	177
CLUG_00150	Supercontig_1.1	289934	290362	-	429	11
CLUG_00151	Supercontig_1.1	291662	292117	-	456	4
CLUG_00152	Supercontig_1.1	291858	292736	+	879	14561
CLUG_00153	Supercontig_1.1	292811	293890	+	1080	576
CLUG_00154	Supercontig_1.1	294331	295437	-	1107	86
CLUG_00155	Supercontig_1.1	296001	297074	+	1074	968
CLUG_00156	Supercontig_1.1	297199	299322	-	2124	367
CLUG_00157	Supercontig_1.1	299898	300494	-	597	12755
CLUG_00158	Supercontig_1.1	300898	302001	-	1104	9336
CLUG_00159	Supercontig_1.1	302640	302984	-	345	3685
CLUG_00160	Supercontig_1.1	303147	308459	-	5313	4994
CLUG_00161	Supercontig_1.1	309090	309344	-	255	201
CLUG_00162	Supercontig_1.1	309763	311703	-	1941	519
CLUG_00163	Supercontig_1.1	312946	314676	+	1731	35017
CLUG_00164	Supercontig_1.1	315320	317425	+	2106	501
CLUG_00165	Supercontig_1.1	317672	320599	+	2928	586
CLUG_00166	Supercontig_1.1	321399	324881	+	3483	361
CLUG_00167	Supercontig_1.1	325196	325618	+	423	425
CLUG_00168	Supercontig_1.1	326287	327861	+	1575	419
CLUG_00169	Supercontig_1.1	328836	329915	+	1080	149
CLUG_00170	Supercontig_1.1	331505	333535	+	2031	15087
CLUG_00171	Supercontig_1.1	333938	334984	-	1047	1451
CLUG_00172	Supercontig_1.1	337926	339587	-	1662	422
CLUG_00173	Supercontig_1.1	339667	340134	-	468	56
CLUG_00174	Supercontig_1.1	340228	341355	+	1128	57
CLUG_00175	Supercontig_1.1	341445	342698	+	1254	145
CLUG_00176	Supercontig_1.1	344260	345711	-	1452	4999
CLUG_00177	Supercontig_1.1	347815	349350	+	1536	3387
CLUG_00178	Supercontig_1.1	350485	351861	+	1377	40182
CLUG_00179	Supercontig_1.1	352779	355868	+	3090	1083
