>CLUG_00582.CLUT_00582.intron1/1 Supercontig_1.1:1181867..1181969
>CLUG_00884.CLUT_00884.intron1/1 Supercontig_1.1:1803683..1803746
>CLUG_01048.CLUT_01048.intron1/1 Supercontig_1.1:2124285..2124518
>CLUG_01234.CLUT_01234.intron1/1 Supercontig_1.2:46189..46144
>CLUG_01619.CLUT_01619.intron1/1 Supercontig_1.2:807922..808090
>CLUG_03454.CLUT_03454.intron1/1 Supercontig_1.4:546563..546501
>CLUG_03748.CLUT_03748.intron1/1 Supercontig_1.4:1081163..1081025
>CLUG_03830.CLUT_03830.intron1/1 Supercontig_1.4:1231718..1232037
>CLUG_04549.CLUT_04549.intron1/1 Supercontig_1.5:917574..917629
>CLUG_04555.CLUT_04555.intron1/1 Supercontig_1.5:928113..927858
>CLUG_04706.CLUT_04706.intron1/1 Supercontig_1.5:1180555..1180232
>CLUG_05667.CLUT_05667.intron1/1 Supercontig_1.8:155343..155184
>CLUG_05707.CLUT_05707.intron1/1 Supercontig_1.8:246464..246512
>CLUG_05769.CLUT_05769.intron1/1 Supercontig_1.8:388280..388795
