"","L1B.r1","L1B.r2","L1B_benomyl.r1","L1B_benomyl.r2","L4C.r1","L4C.r2","L4C_benomyl.r1","L4C_benomyl.r2","U10D.r1","U10D.r2","U10D_benomyl.r1","U10D_benomyl.r2","U3B.r1","U3B.r2","U3B_benomyl.r1","U3B_benomyl.r2","U3E.r1","U3E.r2","U3E_benomyl.r1","U3E_benomyl.r2","U5C.r1","U5C.r2","U5C_benomyl.r1","U5C_benomyl.r2"
"CLUG_00001T0",8073,7188,4469,6301,12854,11149,4445,5962,6750,9615,6499,9866,12240,13391,5251,5171,11431,10851,9913,11992,14286,12999,17464,18026
"CLUG_00002T0",2619,2028,555,681,5158,4930,446,778,2569,3519,996,1034,4707,3758,550,901,4297,3600,1886,2161,3944,3610,1748,1598
"CLUG_00003T0",2149,1730,191,306,3936,3281,321,366,1766,2486,281,343,2041,1972,283,468,2207,2604,118,177,2234,2072,115,117
"CLUG_00004T0",10178,10255,449,561,12626,11265,604,813,9786,10867,567,796,8785,6480,1292,1368,8314,7677,500,534,7795,7630,391,278
"CLUG_00005T0",1550,1033,183,228,3030,2849,247,291,1571,2032,243,424,2280,1935,283,567,2356,1868,664,820,2173,1899,457,346
"CLUG_00006T0",647,485,190,199,1850,1639,148,256,874,1317,216,298,1467,1075,265,435,1344,1050,408,633,1287,1198,358,289
"CLUG_00007T0",1150,880,95,96,1949,2021,145,162,1038,1372,122,143,1339,1074,175,290,1532,1168,122,172,1535,1264,142,128
"CLUG_00008T0",491,270,115,113,747,729,132,213,436,572,114,189,602,534,179,287,613,576,226,344,626,557,501,513
"CLUG_00009T0",689,343,220,276,919,955,281,446,440,701,326,399,928,940,153,270,833,873,707,792,947,1002,1909,1938
"CLUG_00010T0",430,287,142,178,627,827,251,353,373,572,218,343,593,497,157,164,663,577,254,421,870,799,798,729
"CLUG_00011T0",1388,963,444,550,2166,2552,726,531,1225,1811,557,806,3162,3749,691,715,2431,2172,1196,1768,2626,2547,1590,1831
"CLUG_00012T0",329,119,92,123,1139,784,109,176,322,568,121,135,891,736,268,318,931,650,52,70,647,586,99,115
"CLUG_00013T0",902,586,3125,3386,1764,1829,7127,4834,969,1129,2231,2850,2056,1761,7352,6336,1764,1728,2505,2464,3279,3019,3919,4429
"CLUG_00014T0",859,573,265,321,901,1056,589,1066,822,797,258,417,1288,1152,1362,1591,1019,882,424,553,1254,1282,1234,1214
"CLUG_00015T0",252,215,375,338,180,197,626,1532,250,279,219,482,188,113,1994,2103,138,113,287,400,67,127,1072,1341
"CLUG_00016T0",1029,646,254,280,1390,1570,628,975,1104,1338,168,359,1100,649,1113,1352,1001,816,285,361,731,735,650,740
"CLUG_00017T0",3435,2724,511,662,4490,5837,1634,1533,3592,3353,475,611,5052,3647,1365,1438,4230,3550,492,781,5263,5150,918,999
"CLUG_00018T0",103257,62467,7406,10341,142198,158357,9888,10655,101581,82673,10513,8659,127783,104042,3429,4485,105595,95283,9698,13102,164091,158246,3081,3258
"CLUG_00019T0",3098,3251,32367,41489,2285,1754,63474,47743,2261,3341,29598,33783,1649,2157,28847,27314,2407,2661,76739,70917,2866,2736,57398,56650
"CLUG_00020T0",496,366,313,442,941,1161,679,801,448,834,392,862,1074,1152,540,662,1323,1306,664,826,1216,1237,841,979
"CLUG_00021T0",1099,787,227,331,1351,1457,315,288,939,1104,268,309,1017,1041,228,257,970,1105,689,614,951,1069,371,373
"CLUG_00022T0",4701,3491,1936,2615,6378,5994,5582,6335,4023,4745,1861,2663,6621,5648,11052,8979,5335,4824,1808,1968,6655,5866,7106,7810
"CLUG_00023T0",7193,5977,8405,11522,6329,6735,16559,13463,5080,5509,8690,11144,9956,9003,10290,9827,6804,6458,16542,18516,9696,9698,24852,23962
"CLUG_00024T0",2868,1838,8191,10757,3343,3218,22282,17901,1901,2470,8482,11406,2324,2050,21237,17425,2318,2479,2770,2963,2349,2376,8881,8157
"CLUG_00025T0",951,705,698,851,1496,1831,1713,1949,845,1335,755,1184,1928,2505,725,780,1693,1740,1533,1838,2148,2180,3599,2591
"CLUG_00026T0",1349,1161,1101,1459,2496,3366,1572,3012,1514,2302,1234,2175,2624,3581,2414,2427,2602,2446,2109,2221,3497,3453,4673,3685
"CLUG_00027T0",1290,1481,98,99,2017,2633,292,181,3004,3918,104,130,859,1094,424,296,2203,3986,32,89,2313,2269,92,175
"CLUG_00028T0",36,27,38,28,33,45,18,43,38,24,29,31,6,1,92,93,4,11,7,7,14,17,33,44
"CLUG_00029T0",2564,1398,284,321,3208,4765,506,406,3251,2702,500,433,3155,2096,680,477,2811,2049,1126,1208,3489,2616,479,418
"CLUG_00030T0",11200,6462,4585,5420,11897,12636,9436,6626,8921,10663,7436,11445,27153,31677,4243,3388,19932,19868,13055,16752,27635,27224,21622,25754
"CLUG_00031T0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CLUG_00032T0",3980,3560,6730,6661,3525,5109,3819,5861,4551,4671,3972,4577,4031,4083,7417,14612,5281,5788,911,826,5459,7535,938,1471
"CLUG_00033T0",496,342,1976,1994,594,732,2034,2388,544,442,1580,1934,500,391,3112,4534,553,557,600,553,590,587,519,732
"CLUG_00034T0",38400,24254,12267,13899,31056,41895,10251,11489,28295,22221,10803,10373,16139,10530,13063,19293,20188,19351,8575,7727,34215,31448,4661,5161
"CLUG_00035T0",5202,3791,358,432,6784,7828,369,531,4911,5145,475,425,4870,4116,427,569,5361,4486,1061,1280,5724,5009,516,451
"CLUG_00036T0",3704,2283,570,569,5899,7087,902,1125,3595,4312,491,692,2909,2407,1605,1871,3652,3335,394,549,4015,3539,335,425
"CLUG_00037T0",1596,1192,115,189,2556,2827,215,215,1886,2136,236,191,1902,1505,97,221,2052,1493,247,269,1841,1796,116,136
"CLUG_00038T0",716,389,76,91,760,733,126,137,991,827,128,116,892,1442,365,267,845,900,116,164,417,665,96,119
"CLUG_00039T0",868,591,88,137,1950,1648,117,107,834,1088,128,89,1427,1318,218,280,1328,1085,101,98,1237,1113,69,32
"CLUG_00040T0",124,60,40,40,179,199,14,53,142,129,21,38,197,191,92,102,190,134,10,24,131,176,17,23
"CLUG_00041T0",1339,1026,321,234,2467,2618,367,391,1457,1827,225,349,2149,1690,555,530,2175,1473,183,289,2207,2132,212,224
"CLUG_00042T0",1045,652,380,415,2090,1891,500,573,828,1444,401,506,5631,7248,1159,939,2913,2941,768,1486,3516,3517,1072,1283
"CLUG_00043T0",1482,1255,268,290,3257,3502,439,645,1736,2245,312,538,2984,2099,424,428,2619,1945,742,1153,2750,2478,513,661
"CLUG_00044T0",1743,1764,211,209,4611,4067,316,440,2071,3614,257,293,3709,3752,468,446,3588,2867,345,593,3305,3107,228,214
"CLUG_00045T0",228,150,630,830,710,555,869,877,419,539,1017,1714,964,1246,797,574,848,986,1024,1520,661,761,860,1111
"CLUG_00046T0",899,471,168,172,1300,1907,422,435,780,926,189,187,1706,1579,287,259,1013,981,367,540,1180,1145,257,289
"CLUG_00047T0",9076,5749,12096,15496,9959,15860,15291,15835,8380,6893,13406,17076,11910,7810,10151,9997,6895,4485,24793,31167,7988,8994,26531,21905
"CLUG_00048T0",10679,8680,5822,7194,16230,17861,5337,6206,9476,11311,7525,7841,8846,6992,3038,4016,8666,9590,8676,7570,8946,8280,4304,3517
"CLUG_00049T0",8110,6244,1578,1926,12440,14116,2566,2878,9257,10488,2523,2608,10208,7916,2965,2845,9668,8102,2847,3000,9121,9809,2347,2317
"CLUG_00050T0",1620,1474,536,678,3005,3138,1205,1439,1953,2148,557,895,3071,2299,2180,1727,2293,1891,645,876,2543,2453,1321,1264
"CLUG_00051T0",1500,1311,32450,36519,1867,2044,55118,38423,1419,1729,31097,37087,1929,2195,34919,34083,1954,2235,32122,34561,1733,2020,37265,39667
"CLUG_00052T0",5097,3995,1649,1929,11177,10215,3230,3954,4964,7563,2218,2171,8745,8907,2323,2843,9023,7741,4381,5796,9906,8989,5873,5175
"CLUG_00053T0",1672,1257,371,404,2736,2856,393,780,1497,2071,454,557,2485,2295,491,666,2177,2296,785,1004,2421,2270,897,878
"CLUG_00054T0",1788,1174,528,635,2623,2353,840,975,1775,2162,552,617,3042,2641,655,827,2609,2018,1269,1808,2195,2358,1557,1683
"CLUG_00055T0",8223,5784,706,789,7538,8802,1164,938,7860,8077,671,595,8841,7338,780,856,7559,6360,707,825,10804,11752,805,846
"CLUG_00056T0",1181,810,801,794,2101,2253,1617,1283,1337,1570,795,784,1287,950,2098,1636,1621,1218,678,686,1365,1330,1218,1125
"CLUG_00057T0",3480,2583,7665,8728,4533,5387,10053,9506,3122,3923,9696,11609,4476,5331,3960,3338,4581,4876,7072,6521,5158,5376,12244,12964
"CLUG_00058T0",1663,1094,959,1154,2623,2738,1168,901,1671,2172,1258,1803,3382,3019,615,638,2805,2383,1843,2357,2888,2872,1785,1767
"CLUG_00059T0",553,353,544,614,848,852,1171,595,464,562,672,783,703,593,372,292,677,619,313,399,702,569,552,457
"CLUG_00060T0",1414,1039,269,405,2247,2558,261,445,1469,1733,395,535,2306,1835,191,184,1989,1672,457,700,2090,2229,226,299
"CLUG_00061T0",1605,1418,216,415,1888,1880,176,267,1262,1736,282,459,1123,1003,235,250,1404,1470,765,937,1594,1523,330,517
"CLUG_00062T0",489,269,128,292,1235,1373,308,357,690,897,232,426,1378,985,354,303,1311,1047,313,523,1174,878,303,279
"CLUG_00063T0",3547,2258,360,439,6942,8116,503,936,4994,5076,523,752,4003,2818,519,670,3959,3410,400,628,3221,3092,301,342
"CLUG_00064T0",911,502,657,849,1468,1621,1524,1557,731,1123,976,1842,1413,1388,836,790,1316,1330,997,1208,1766,1635,1824,1616
"CLUG_00065T0",419,234,364,522,848,1089,945,1399,459,803,678,1356,891,821,680,734,1039,827,462,925,1042,978,1533,1864
"CLUG_00066T0",1593,1025,224,218,2985,2464,250,311,1092,1935,249,252,2088,2275,620,616,2319,2038,79,98,2768,2251,179,141
"CLUG_00067T0",110,84,34,24,385,384,24,45,176,255,37,38,310,259,86,72,318,198,6,6,315,250,25,31
"CLUG_00068T0",362,174,57,90,925,916,24,76,354,579,45,69,673,679,194,271,775,640,23,27,532,542,56,50
"CLUG_00069T0",1424,1248,359,522,3387,3311,562,732,1509,2345,733,836,3582,3104,266,337,3186,2566,1348,1727,3572,3232,1328,1379
"CLUG_00070T0",374,200,88,165,734,668,102,151,315,454,93,162,455,400,139,181,457,448,93,102,528,440,68,87
"CLUG_00071T0",1458,1140,226,268,2494,2711,333,271,1343,1765,309,308,1952,1571,234,256,1785,1441,220,361,2125,1802,116,168
"CLUG_00072T0",8599,4155,660,887,10108,14720,1023,1086,12995,8985,1183,972,27542,29857,759,906,16450,13251,1031,1317,20084,22414,435,467
"CLUG_00073T0",13156,10116,1451,2057,22036,22699,1987,2348,13608,17516,1988,2135,19115,19280,994,1313,19451,17298,4921,5353,18479,17512,2803,2707
"CLUG_00074T0",7344,4720,623,852,8019,9479,480,379,7040,6615,594,393,3237,1694,251,387,3055,3315,739,562,6761,6211,432,322
"CLUG_00075T0",9386,6840,86889,104824,8056,12050,85318,114471,7113,7699,80931,85982,8289,7763,95588,110612,7074,7505,105605,109057,6890,8599,103924,102309
"CLUG_00076T0",2891,2774,29869,34237,3327,5117,20305,46263,4066,3816,41326,39871,3685,2616,39311,40069,3267,2327,35326,53958,2694,3348,47581,50659
"CLUG_00077T0",7806,5509,2602,2817,14142,14136,5984,5836,9066,10131,2473,3289,7083,5406,4949,6283,8100,7562,5150,6034,9326,9293,2796,3397
"CLUG_00078T0",9740,4191,1646,1738,10570,16149,3643,3426,9905,9710,2117,2623,35247,31530,2559,3088,21282,18729,2924,3456,30343,31987,1664,1811
"CLUG_00079T0",174,166,110,83,312,254,109,149,189,203,94,110,154,120,170,284,199,159,57,66,205,161,107,84
"CLUG_00080T0",3764,3034,1138,1031,5895,5941,1579,1800,3908,4419,1590,1716,5001,4551,2148,2705,4594,3869,2513,2980,4999,4584,3138,2955
"CLUG_00081T0",2931,1799,1000,1041,5103,5128,1584,1659,2892,3993,1003,1380,3768,2460,3145,2864,3589,2918,1209,1557,2917,2534,1536,1485
"CLUG_00082T0",2289,1671,886,1101,4109,4043,1402,1776,3152,3244,1713,2754,4468,3128,1288,1924,3724,3456,1916,2555,3327,3435,1243,1250
"CLUG_00083T0",2467,1864,848,1069,4444,5102,1249,1168,2858,3240,841,784,4446,3528,1204,1500,4548,3793,452,638,4073,3943,898,773
"CLUG_00084T0",604,454,406,406,1174,1189,524,518,577,819,395,423,2243,2268,852,929,1283,1171,400,798,1535,1563,585,738
"CLUG_00085T0",1770,1417,39196,43934,2341,3011,71270,40637,1584,1703,31560,34914,4039,3379,67233,51506,2634,2179,12149,15222,3647,3894,27693,25992
"CLUG_00086T0",26016,12407,41131,45620,24455,31023,35521,31634,20123,18274,27400,28432,14720,12270,49440,72655,14192,17441,5313,5490,17423,19735,9481,12874
"CLUG_00087T0",1860,1346,28145,28366,2967,3190,41792,31650,1838,1948,21633,23232,2271,1999,45798,49857,2036,1954,6223,7034,3193,2959,16227,17564
"CLUG_00088T0",1904,1384,1423,1420,4535,4245,3044,3166,1835,2870,1593,2110,4305,4148,3311,2777,4122,3576,2008,2454,4505,3732,3014,3748
"CLUG_00089T0",1058,746,531,627,3340,2722,1103,1282,1082,1901,534,676,2260,2018,1349,1440,2502,1762,314,351,2117,1909,952,953
"CLUG_00090T0",6903,5196,1541,1974,9448,9045,1860,1742,5371,6825,1904,2388,6649,5507,717,951,6193,6816,3412,3265,6763,5698,1393,1416
"CLUG_00091T0",597,426,229,289,812,887,359,506,419,591,234,375,905,1135,309,357,883,818,309,407,913,908,858,929
"CLUG_00092T0",985,802,241,269,1490,1483,361,335,790,979,260,352,1422,1256,167,204,1181,1204,363,427,1333,1336,317,358
"CLUG_00093T0",4743,3505,6748,7501,6861,6879,9254,4736,4288,4980,6419,6827,5933,5103,7636,7952,5494,5480,4478,4779,7493,7112,3824,4008
"CLUG_00094T0",2314,2304,590,697,1848,2143,588,408,1825,1740,425,449,1565,1173,462,481,1665,1330,858,823,1722,1820,317,199
"CLUG_00095T0",3341,2076,1621,1967,3003,3385,516,675,2991,2947,1317,1058,1986,1613,1160,1837,1941,1879,1308,1499,2742,2554,1422,1489
"CLUG_00096T0",1394,791,931,1139,3307,2919,737,919,1334,2188,1243,1649,3844,3339,1207,1379,3017,2180,2017,2735,2977,2719,2324,2274
"CLUG_00097T0",5184,3043,1745,1975,10312,10690,1293,1495,5760,7011,1244,1389,9039,8320,2429,3938,9778,6598,759,835,7869,7187,1316,1013
"CLUG_00098T0",1550,1524,728,689,2637,2654,389,910,1804,2265,827,752,1845,1283,1456,1936,1970,1500,456,426,2022,1884,531,504
"CLUG_00099T0",8685,5596,2766,2508,10214,14484,2109,2438,7845,7905,1959,2145,10012,8384,3534,5793,9427,9074,2501,2514,11421,10516,1454,1386
"CLUG_00100T0",339,202,908,1028,594,567,1605,1144,289,423,894,900,621,686,2786,2446,452,581,396,446,575,466,570,467
"CLUG_00101T0",1313,1187,121,199,2433,2199,185,189,1362,1737,204,170,1956,1821,93,104,1791,1642,508,571,1711,1726,248,279
"CLUG_00102T0",1331,911,109,151,1141,1273,108,76,958,937,186,156,1171,1244,27,48,920,1143,410,297,1401,1271,88,79
"CLUG_00103T0",1219,1064,271,409,2421,2074,491,443,1349,1910,640,1008,2772,2372,199,166,2441,2239,776,1103,2409,2013,381,454
"CLUG_00104T0",496,339,37,44,623,634,80,36,370,443,57,57,645,572,7,22,503,505,142,193,760,700,185,133
"CLUG_00105T0",1186,821,374,436,1889,1993,588,523,1052,1548,371,520,3227,3965,455,393,2107,1995,622,1116,2296,2195,860,939
"CLUG_00106T0",1334,1076,110,182,2510,2611,141,234,1469,1971,132,214,1991,1624,46,82,2121,1561,321,410,2234,2026,257,219
"CLUG_00107T0",654,372,44,50,1000,955,69,70,538,713,109,68,946,843,12,30,832,678,102,158,833,750,70,85
"CLUG_00108T0",294,162,636,664,386,457,1523,976,197,280,389,518,1314,1660,2164,1754,629,652,158,204,845,884,323,345
"CLUG_00109T0",100,112,2956,2923,202,205,2437,4388,79,94,1977,3069,73,91,6951,9312,101,113,497,460,240,239,1657,1765
"CLUG_00110T0",485,352,328,360,885,924,316,600,551,751,389,565,930,718,833,1198,851,689,157,234,1054,934,324,348
"CLUG_00111T0",1945,1579,1732,1718,3464,3741,883,2147,2020,2444,1336,1933,3090,2490,3155,4890,3009,2454,673,794,2873,2805,1126,1208
"CLUG_00112T0",3386,2390,807,996,5364,5488,1276,1037,3392,3986,1759,2243,4392,3536,990,882,4317,4019,2326,2288,4726,4358,1004,1034
"CLUG_00113T0",2583,2028,634,791,2709,2236,1107,1055,1956,2315,633,726,2642,2082,1420,1537,2304,2180,426,642,2922,2763,816,755
"CLUG_00114T0",3173.08014818963,2299.15001264013,1577.56016353445,1930.40551186461,5339.08326415855,5109.21760813349,1730.17447328256,2239.37395218316,3982.05763083425,4678.04273731662,3100.62422747771,6419.25966153034,9561.85135485659,11910.4375233906,1482,1715.7595239084,6506.7974451026,5899.00697802556,6316.1815191507,5984.10775508253,10596.8284051004,9794.79459729652,10245.120839216,8180.94335065309
"CLUG_00115T0",617.919851810373,1030.84998735987,245.439836465546,127.594488135387,436.916735841452,648.782391866505,48.8255267174417,132.626047816838,269.942369165747,1382.95726268338,1293.37577252229,1867.74033846966,2674.14864514341,970.562476609414,0,28.2404760915995,1375.2025548974,789.993021974444,738.818480849304,1512.89224491747,1370.17159489956,1499.20540270348,937.879160784017,4497.05664934691
"CLUG_00116T0",2254,1400,968,1085,3761,5056,1100,2038,2531,3617,1166,1763,4163,4476,2026,2508,4578,3822,1369,1944,4593,4574,5323,5108
"CLUG_00117T0",3872,2305,1068,1328,5391,6860,1760,2450,4048,4764,1192,1523,5505,5728,2231,2530,4535,4594,1660,2290,5976,5558,1839,1745
"CLUG_00118T0",4879,3381,2503,3355,7035,7823,7312,7398,4114,4656,2791,4140,5778,5060,5802,5364,5478,5413,3528,3372,6071,5399,4333,4209
"CLUG_00119T0",603,373,461,638,1089,1235,691,1678,577,751,595,995,1013,778,1177,1369,861,735,406,519,1060,985,1113,1062
"CLUG_00120T0",2058,1403,1118,1693,4609,4813,1420,2886,2671,3137,1380,1962,3779,3475,2127,2686,3918,3514,899,986,3829,3868,1774,1779
"CLUG_00121T0",2445,1642,6414,9935,3853,4593,13774,15981,3223,3154,5818,8283,4020,3671,7021,8090,3959,4695,27284,29725,4797,5005,17623,18412
"CLUG_00122T0",2571,1979,359,407,4351,4111,1117,973,2464,2999,465,565,4075,3240,865,822,3688,2678,662,689,3528,3381,247,211
"CLUG_00123T0",73284,58569,6984,11328,118838,125307,13311,14739,52749,83755,8760,9729,105412,83812,5946,5683,104784,72415,6647,11518,88467,76932,4509,4128
"CLUG_00124T0",8976,9839,2141,2665,14690,16883,2630,3307,9387,11024,2743,3477,12632,10658,2487,3144,12206,10188,5122,6037,12760,12735,3049,3162
"CLUG_00125T0",377,274,177,167,605,676,298,283,365,497,219,229,1765,2216,554,430,977,851,351,588,1165,1214,562,550
"CLUG_00126T0",884,877,290,298,1460,1282,505,559,737,1252,334,358,3480,4023,1235,863,2041,1738,338,680,1928,1816,735,602
"CLUG_00127T0",744,573,207,253,1152,1147,303,375,730,767,223,302,1248,1040,513,649,1024,1022,314,239,1055,894,648,618
