Geneid	Chr	Start	End	Strand	Length	L1B.r1	L1B.r2	L1B_benomyl.r1	L1B_benomyl.r2	L4C.r1	L4C.r2	L4C_benomyl.r1	L4C_benomyl.r2	U10D.r1	U10D.r2	U10D_benomyl.r1	U10D_benomyl.r2	U3B.r1	U3B.r2	U3B_benomyl.r1	U3B_benomyl.r2	U3E.r1	U3E.r2	U3E_benomyl.r1	U3E_benomyl.r2	U5C.r1	U5C.r2	U5C_benomyl.r1	U5C_benomyl.r2
CLUG_00001	Supercontig_1.1	1941	3782	+	1842	4537	4179	2340	3397	7488	877	2613	3435	3846	5469	3632	5696	7136	7417	2748	2568	6602	6129	5523	1193	4286	2958	7262	10464
CLUG_00002	Supercontig_1.1	3922	5346	+	1425	1451	1193	244	322	3050	397	270	381	1498	2049	563	569	2740	2094	193	303	2543	2021	1007	210	1289	828	738	922
CLUG_00003	Supercontig_1.1	5729	7495	+	1767	1256	1127	111	161	2543	262	226	223	1136	1619	151	209	1342	1149	76	133	1495	1577	64	20	717	537	29	41
CLUG_00004	Supercontig_1.1	8045	9796	+	1752	6227	6487	151	175	7913	937	112	128	6170	6909	172	121	5528	4017	68	180	5246	4767	216	33	2675	1896	27	21
CLUG_00005	Supercontig_1.1	10224	11336	-	1113	958	671	111	118	2016	269	174	205	1064	1368	168	268	1578	1202	205	348	1637	1130	358	87	803	524	217	237
CLUG_00006	Supercontig_1.1	11347	12300	-	954	431	351	95	100	1351	155	80	155	631	940	130	189	1023	713	162	250	989	690	205	68	498	332	172	192
CLUG_00007	Supercontig_1.1	13298	14620	+	1323	800	662	39	43	1428	185	70	53	816	1057	52	53	991	730	12	59	1158	836	62	22	570	381	22	28
CLUG_00008	Supercontig_1.1	14654	15757	-	1104	286	174	70	68	497	74	89	135	301	382	95	128	397	329	122	187	427	352	129	39	227	142	242	357
CLUG_00009	Supercontig_1.1	15879	16751	+	873	351	204	117	151	553	65	171	272	259	422	200	223	545	513	75	73	479	477	381	64	307	235	887	1261
CLUG_00010	Supercontig_1.1	16801	17550	-	750	360	232	84	117	489	97	193	232	331	447	155	230	458	407	111	116	539	435	170	62	357	255	421	538
CLUG_00011	Supercontig_1.1	18010	19812	+	1803	778	591	215	300	1344	197	412	301	762	1129	354	468	1950	2207	333	268	1521	1248	664	184	847	654	669	1105
CLUG_00012	Supercontig_1.1	19812	21224	+	1413	189	73	30	43	690	60	48	72	191	357	55	54	558	430	101	65	584	369	26	7	212	127	31	43
CLUG_00013	Supercontig_1.1	21332	22849	-	1518	509	366	1655	1781	1075	138	4449	3022	589	685	1356	1775	1260	996	4554	3429	1063	954	1342	255	1048	743	1772	2761
CLUG_00014	Supercontig_1.1	22958	24043	+	1086	505	341	102	133	565	95	224	291	505	506	123	150	835	675	195	387	644	539	203	46	423	292	246	282
CLUG_00015	Supercontig_1.1	24260	25897	+	1638	50	44	174	159	50	6	197	528	51	45	93	168	40	45	425	587	29	27	122	24	11	16	180	285
CLUG_00016	Supercontig_1.1	26120	27070	+	951	682	441	149	160	945	131	436	557	731	912	97	196	737	436	430	530	658	536	142	39	258	189	182	253
CLUG_00017	Supercontig_1.1	27222	28229	+	1008	1342	893	208	273	2126	318	676	615	1274	1503	167	215	1993	1461	561	593	1854	1448	133	34	1048	717	186	275
CLUG_00018	Supercontig_1.1	28494	29960	+	1467	65669	43730	4355	6058	99522	14408	6862	6829	69407	57716	7128	5896	88169	67607	1818	2015	73970	60836	5892	1562	60992	43916	1235	1756
CLUG_00019	Supercontig_1.1	30601	31695	+	1095	2123	2355	20610	26315	1716	175	45859	33560	1688	2414	20808	23889	1205	1471	20182	17278	1820	1816	49727	8942	1134	793	29058	40437
CLUG_00020	Supercontig_1.1	32233	33246	+	1014	313	237	182	245	629	101	379	433	282	544	234	497	726	731	137	243	858	781	389	88	432	344	353	525
CLUG_00021	Supercontig_1.1	33362	33796	+	435	1043	833	218	306	1438	202	353	302	968	1162	297	356	1087	1000	144	216	1024	1026	675	95	544	456	256	361
CLUG_00022	Supercontig_1.1	33909	34898	-	990	3036	2371	1273	1730	4320	525	3965	4317	2715	3187	1223	1872	4490	3676	7754	6300	3625	3163	1248	264	2376	1598	3724	5828
CLUG_00023	Supercontig_1.1	35244	35696	+	453	8126	7568	10302	13476	7854	1092	21649	16829	6134	6716	10997	14437	12191	10183	11412	10674	8503	7343	18869	4083	6397	4806	21075	30590
CLUG_00024	Supercontig_1.1	35948	36613	-	666	2005	1388	1570	2217	2625	322	1806	2995	1503	1893	826	1393	1827	1494	4227	5270	1811	1734	879	152	994	735	2901	3939
CLUG_00025	Supercontig_1.1	37855	39225	-	1371	545	423	341	441	957	162	1128	1123	526	848	436	677	1104	1463	178	179	1117	1027	878	208	750	540	1671	1633
CLUG_00026	Supercontig_1.1	39390	43595	-	4206	695	611	322	454	1317	214	510	946	789	1219	428	752	1374	1882	151	260	1391	1299	1053	208	983	709	1604	1579
CLUG_00027	Supercontig_1.1	46451	48148	+	1698	742	849	52	59	1157	215	147	93	1705	2235	58	68	490	609	213	161	1277	2232	20	5	693	502	38	96
CLUG_00028	Supercontig_1.1	49448	50305	-	858	37	29	11	10	32	7	0	1	42	18	5	15	5	4	11	16	8	10	2	0	7	6	0	2
CLUG_00029	Supercontig_1.1	51090	52448	+	1359	1571	875	143	189	1981	375	316	255	1979	1667	296	256	1961	1305	406	269	1724	1266	679	121	1123	659	207	262
CLUG_00030	Supercontig_1.1	53513	54106	-	594	8969	5781	3543	4219	10685	1458	8114	5732	7664	9633	6176	9928	24962	25755	3696	2708	17977	16103	10205	2585	13340	9514	13725	22586
CLUG_00031	Supercontig_1.1	55204	55410	+	207	269	246	324	391	246	55	102	80	264	283	104	121	358	270	39	485	406	350	118	15	347	261	46	20
CLUG_00032	Supercontig_1.1	57033	58259	+	1227	2940	2772	939	1133	2742	554	560	564	3521	3691	668	698	3225	3051	103	1136	4228	4157	308	59	2281	2260	53	80
CLUG_00033	Supercontig_1.1	58955	59665	+	711	341	258	286	333	504	84	60	78	467	415	56	64	475	348	16	511	545	498	84	8	246	153	11	21
CLUG_00034	Supercontig_1.1	59720	62110	-	2391	21563	14507	6936	7753	18596	3199	6485	7112	16432	13090	6560	6412	8990	5687	7992	11179	11596	10636	4686	821	10745	7414	2026	3174
CLUG_00035	Supercontig_1.1	62254	65070	-	2817	2855	2258	197	239	3970	593	231	288	2830	3079	254	245	2989	2392	234	285	3187	2563	580	118	1832	1168	218	250
CLUG_00036	Supercontig_1.1	65219	70888	-	5670	1921	1301	221	243	3357	534	376	392	2064	2467	210	249	1648	1299	663	747	2077	1756	119	19	1223	791	47	72
CLUG_00037	Supercontig_1.1	71277	72500	-	1224	1159	877	69	132	1887	263	145	130	1325	1507	148	115	1433	1065	38	77	1523	1100	169	29	726	509	58	57
CLUG_00038	Supercontig_1.1	73589	74386	+	798	554	315	56	61	584	75	90	106	794	654	108	99	805	1231	279	216	714	720	99	36	171	250	62	103
CLUG_00039	Supercontig_1.1	74478	75668	-	1191	579	414	39	75	1357	157	76	44	556	788	56	32	977	945	68	67	851	742	54	17	468	314	15	11
