# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "0" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/L1B.r1.gsnap_reads.nostrand.tab" "-F" "GTF" "aln/L1B.r1.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/L1B.r1.gsnap.bam
CLUG_00001	Supercontig_1.1	1941	3782	+	1842	9339
CLUG_00002	Supercontig_1.1	3922	5346	+	1425	3098
CLUG_00003	Supercontig_1.1	5729	7495	+	1767	2638
CLUG_00004	Supercontig_1.1	8045	9796	+	1752	12423
CLUG_00005	Supercontig_1.1	10224	11336	-	1113	2178
CLUG_00006	Supercontig_1.1	11347	12300	-	954	927
CLUG_00007	Supercontig_1.1	13298	14620	+	1323	1625
CLUG_00008	Supercontig_1.1	14654	15757	-	1104	624
CLUG_00009	Supercontig_1.1	15879	16751	+	873	932
CLUG_00010	Supercontig_1.1	16801	17550	-	750	677
CLUG_00011	Supercontig_1.1	18010	19812	+	1803	1665
CLUG_00012	Supercontig_1.1	19812	21224	+	1413	403
CLUG_00013	Supercontig_1.1	21332	22849	-	1518	1085
CLUG_00014	Supercontig_1.1	22958	24043	+	1086	1061
CLUG_00015	Supercontig_1.1	24260	25897	+	1638	338
CLUG_00016	Supercontig_1.1	26120	27070	+	951	1420
CLUG_00017	Supercontig_1.1	27222	28229	+	1008	4107
CLUG_00018	Supercontig_1.1	28494	29960	+	1467	133824
CLUG_00019	Supercontig_1.1	30601	31695	+	1095	4357
CLUG_00020	Supercontig_1.1	32233	33246	+	1014	638
CLUG_00021	Supercontig_1.1	33362	33796	+	435	2166
CLUG_00022	Supercontig_1.1	33909	34898	-	990	6204
CLUG_00023	Supercontig_1.1	35244	35696	+	453	16596
CLUG_00024	Supercontig_1.1	35948	36613	-	666	4337
CLUG_00025	Supercontig_1.1	37855	39225	-	1371	1223
CLUG_00026	Supercontig_1.1	39390	43595	-	4206	1481
CLUG_00027	Supercontig_1.1	46451	48148	+	1698	1482
CLUG_00028	Supercontig_1.1	49448	50305	-	858	63
CLUG_00029	Supercontig_1.1	51090	52448	+	1359	3225
CLUG_00030	Supercontig_1.1	53513	54106	-	594	18254
CLUG_00031	Supercontig_1.1	55204	55410	+	207	522
CLUG_00032	Supercontig_1.1	57033	58259	+	1227	5816
CLUG_00033	Supercontig_1.1	58955	59665	+	711	909
CLUG_00034	Supercontig_1.1	59720	62110	-	2391	46263
CLUG_00035	Supercontig_1.1	62254	65070	-	2817	6187
CLUG_00036	Supercontig_1.1	65219	70888	-	5670	4222
CLUG_00037	Supercontig_1.1	71277	72500	-	1224	2316
CLUG_00038	Supercontig_1.1	73589	74386	+	798	1143
CLUG_00039	Supercontig_1.1	74478	75668	-	1191	1111
CLUG_00040	Supercontig_1.1	77018	77572	+	555	235
CLUG_00041	Supercontig_1.1	77926	79305	+	1380	1723
CLUG_00042	Supercontig_1.1	79518	80606	+	1089	1284
CLUG_00043	Supercontig_1.1	80669	83119	-	2451	1888
CLUG_00044	Supercontig_1.1	83319	85826	-	2508	2020
CLUG_00045	Supercontig_1.1	86480	87139	+	660	390
CLUG_00046	Supercontig_1.1	87311	88528	+	1218	1258
CLUG_00047	Supercontig_1.1	89098	90540	+	1443	11662
CLUG_00048	Supercontig_1.1;Supercontig_1.1	90642;91941	91842;91987	-;-	1248	13536
CLUG_00049	Supercontig_1.1	93538	95214	+	1677	10184
CLUG_00050	Supercontig_1.1	95331	96704	-	1374	2171
CLUG_00051	Supercontig_1.1	97038	98015	-	978	2174
CLUG_00052	Supercontig_1.1	98258	102493	-	4236	6065
CLUG_00053	Supercontig_1.1	102696	104180	-	1485	2245
CLUG_00054	Supercontig_1.1	104304	105779	-	1476	2078
CLUG_00055	Supercontig_1.1	106314	107369	+	1056	12089
CLUG_00056	Supercontig_1.1	107653	109821	+	2169	1482
CLUG_00057	Supercontig_1.1	110452	112080	+	1629	4269
CLUG_00058	Supercontig_1.1	112228	113157	-	930	2235
CLUG_00059	Supercontig_1.1	113380	114096	+	717	873
CLUG_00060	Supercontig_1.1	114559	115602	+	1044	2069
CLUG_00061	Supercontig_1.1	116880	117839	+	960	2287
CLUG_00062	Supercontig_1.1	118750	119919	+	1170	744
CLUG_00063	Supercontig_1.1	120278	123799	+	3522	3999
CLUG_00064	Supercontig_1.1	124132	125001	-	870	1313
CLUG_00065	Supercontig_1.1	125255	126289	+	1035	688
CLUG_00066	Supercontig_1.1	126582	128840	-	2259	1975
CLUG_00067	Supercontig_1.1	128909	129421	-	513	377
CLUG_00068	Supercontig_1.1	129984	131234	-	1251	503
CLUG_00069	Supercontig_1.1	132734	134023	+	1290	1677
CLUG_00070	Supercontig_1.1	134173	134976	+	804	543
CLUG_00071	Supercontig_1.1	135107	136420	+	1314	1942
CLUG_00072	Supercontig_1.1	136494	138644	-	2151	9951
CLUG_00073	Supercontig_1.1	140487	144779	-	4293	13919
CLUG_00074	Supercontig_1.1	145275	146633	-	1359	9961
CLUG_00075	Supercontig_1.1	147130	148119	-	990	12201
CLUG_00076	Supercontig_1.1	148071	148763	-	693	4536
CLUG_00077	Supercontig_1.1	150607	152544	+	1938	9397
CLUG_00078	Supercontig_1.1	153833	154918	+	1086	13840
CLUG_00079	Supercontig_1.1	155064	155483	-	420	393
CLUG_00080	Supercontig_1.1	155917	157935	+	2019	4427
CLUG_00081	Supercontig_1.1	157970	159511	-	1542	3553
CLUG_00082	Supercontig_1.1	159707	161170	-	1464	2697
CLUG_00083	Supercontig_1.1	161919	163499	+	1581	2814
CLUG_00084	Supercontig_1.1	163680	164471	+	792	853
CLUG_00085	Supercontig_1.1	164579	165301	-	723	2947
CLUG_00086	Supercontig_1.1	165317	166945	-	1629	30146
CLUG_00087	Supercontig_1.1	167980	169956	-	1977	2120
CLUG_00088	Supercontig_1.1	170176	173421	-	3246	2090
CLUG_00089	Supercontig_1.1	173775	175991	+	2217	1237
CLUG_00090	Supercontig_1.1	176125	177135	-	1011	9490
CLUG_00091	Supercontig_1.1	178140	179099	-	960	884
CLUG_00092	Supercontig_1.1	179594	180043	+	450	2946
CLUG_00093	Supercontig_1.1	180843	182039	+	1197	5833
CLUG_00094	Supercontig_1.1	182979	183533	+	555	3992
CLUG_00095	Supercontig_1.1	184149	185657	+	1509	3995
CLUG_00096	Supercontig_1.1	185706	186737	-	1032	1804
CLUG_00097	Supercontig_1.1	187035	189725	-	2691	5899
CLUG_00098	Supercontig_1.1	190594	191991	-	1398	1718
CLUG_00099	Supercontig_1.1	192896	194734	+	1839	10343
CLUG_00100	Supercontig_1.1	195003	195854	-	852	481
CLUG_00101	Supercontig_1.1	196468	197757	-	1290	1564
CLUG_00102	Supercontig_1.1	198246	198767	+	522	2906
CLUG_00103	Supercontig_1.1	200067	200873	+	807	1902
CLUG_00104	Supercontig_1.1	200940	201509	-	570	826
CLUG_00105	Supercontig_1.1	203136	204797	+	1662	1352
CLUG_00106	Supercontig_1.1	205480	208425	+	2946	1523
CLUG_00107	Supercontig_1.1	208472	209161	-	690	1011
CLUG_00108	Supercontig_1.1	209527	210027	-	501	680
CLUG_00109	Supercontig_1.1	210910	212751	-	1842	110
CLUG_00110	Supercontig_1.1	213068	213562	+	495	875
CLUG_00111	Supercontig_1.1	213572	215308	-	1737	2316
CLUG_00112	Supercontig_1.1	218337	218957	-	621	6871
CLUG_00113	Supercontig_1.1	219483	220376	-	894	3546
