# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "1" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/L1B_benomyl.r2.gsnap_frags.tab" "-F" "GTF" "-p" "aln/L1B_benomyl.r2.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/L1B_benomyl.r2.gsnap.bam
CLUG_00001	Supercontig_1.1	1941	3782	+	1842	305
CLUG_00002	Supercontig_1.1	3922	5346	+	1425	83
CLUG_00003	Supercontig_1.1	5729	7495	+	1767	48
CLUG_00004	Supercontig_1.1	8045	9796	+	1752	195
CLUG_00005	Supercontig_1.1	10224	11336	-	1113	31
CLUG_00006	Supercontig_1.1	11347	12300	-	954	48
CLUG_00075	Supercontig_1.1	147130	148119	-	990	10280
CLUG_00076	Supercontig_1.1	148071	148763	-	693	3214
CLUG_00077	Supercontig_1.1	150607	152544	+	1938	436
CLUG_00078	Supercontig_1.1	153833	154918	+	1086	208
CLUG_00079	Supercontig_1.1	155064	155483	-	420	85
CLUG_00080	Supercontig_1.1	155917	157935	+	2019	304
CLUG_00081	Supercontig_1.1	157970	159511	-	1542	217
CLUG_00082	Supercontig_1.1	159707	161170	-	1464	137
CLUG_00083	Supercontig_1.1	161919	163499	+	1581	112
CLUG_00084	Supercontig_1.1	163680	164471	+	792	91
CLUG_00085	Supercontig_1.1	164579	165301	-	723	3120
CLUG_00086	Supercontig_1.1	165317	166945	-	1629	2012
CLUG_00087	Supercontig_1.1	167980	169956	-	1977	1762
CLUG_00088	Supercontig_1.1	170176	173421	-	3246	432
CLUG_00089	Supercontig_1.1	173775	175991	+	2217	205
CLUG_00090	Supercontig_1.1	176125	177135	-	1011	164
CLUG_00091	Supercontig_1.1	178140	179099	-	960	61
CLUG_00092	Supercontig_1.1	179594	180043	+	450	48
CLUG_00093	Supercontig_1.1	180843	182039	+	1197	610
CLUG_00094	Supercontig_1.1	182979	183533	+	555	90
CLUG_00095	Supercontig_1.1	184149	185657	+	1509	170
CLUG_00096	Supercontig_1.1	185706	186737	-	1032	473
CLUG_00097	Supercontig_1.1	187035	189725	-	2691	997
CLUG_00098	Supercontig_1.1	190594	191991	-	1398	434
CLUG_00099	Supercontig_1.1	192896	194734	+	1839	142
CLUG_00100	Supercontig_1.1	195003	195854	-	852	790
CLUG_00101	Supercontig_1.1	196468	197757	-	1290	16
CLUG_00102	Supercontig_1.1	198246	198767	+	522	11
CLUG_00103	Supercontig_1.1	200067	200873	+	807	9
CLUG_00104	Supercontig_1.1	200940	201509	-	570	15
CLUG_00105	Supercontig_1.1	203136	204797	+	1662	42
CLUG_00106	Supercontig_1.1	205480	208425	+	2946	13
CLUG_00107	Supercontig_1.1	208472	209161	-	690	20
CLUG_00108	Supercontig_1.1	209527	210027	-	501	85
CLUG_00109	Supercontig_1.1	210910	212751	-	1842	179
CLUG_00110	Supercontig_1.1	213068	213562	+	495	414
CLUG_00111	Supercontig_1.1	213572	215308	-	1737	133
CLUG_00112	Supercontig_1.1	218337	218957	-	621	84
CLUG_00113	Supercontig_1.1	219483	220376	-	894	62
CLUG_00114	Supercontig_1.1	220901	221587	+	687	332
CLUG_00115	Supercontig_1.1	220922	221587	-	666	1452
CLUG_00116	Supercontig_1.1	222258	225437	+	3180	300
CLUG_00117	Supercontig_1.1	225983	228367	-	2385	236
CLUG_00118	Supercontig_1.1	228655	230724	-	2070	230
CLUG_00119	Supercontig_1.1	231288	232178	+	891	467
CLUG_00120	Supercontig_1.1	232513	233979	+	1467	914
CLUG_00121	Supercontig_1.1	234184	236247	-	2064	631
CLUG_00122	Supercontig_1.1	236768	237784	-	1017	168
CLUG_00123	Supercontig_1.1	238263	239360	-	1098	586
CLUG_00124	Supercontig_1.1	241828	244869	+	3042	197
