Geneid	Chr	Start	End	Strand	Length	L10.rep1	L10.rep2	L17.rep1	L17.rep2	U04.rep1	U04.rep2	U05.rep1	U05.rep2	U07.rep1	U07.rep2
CLUG_00001	Supercontig_1.1	1941	3782	+	1842	7408	863	4606	4125	7039	7470	3866	5425	6518	6234
CLUG_00002	Supercontig_1.1	3922	5346	+	1425	2996	393	1518	1181	2723	2168	1500	2018	2504	2089
CLUG_00003	Supercontig_1.1	5729	7495	+	1767	2527	258	1331	1108	1338	1197	1126	1589	1468	1653
CLUG_00004	Supercontig_1.1	8045	9796	+	1752	7783	927	6281	6351	5430	3992	6118	6774	5182	4774
CLUG_00005	Supercontig_1.1	10224	11336	-	1113	1967	270	1054	723	1594	1237	1093	1381	1628	1190
CLUG_00006	Supercontig_1.1	11347	12300	-	954	1435	162	480	379	1076	780	669	989	1055	774
CLUG_00007	Supercontig_1.1	13298	14620	+	1323	1399	185	845	651	1009	749	832	1053	1170	862
CLUG_00008	Supercontig_1.1	14654	15757	-	1104	563	86	377	214	464	378	365	443	499	421
CLUG_00009	Supercontig_1.1	15879	16751	+	873	677	95	528	271	663	676	372	546	626	636
CLUG_00010	Supercontig_1.1	16801	17550	-	750	488	94	384	226	458	416	329	438	537	462
CLUG_00011	Supercontig_1.1	18010	19812	+	1803	1326	193	837	577	1929	2254	751	1117	1504	1319
CLUG_00012	Supercontig_1.1	19812	21224	+	1413	687	60	204	74	552	445	194	351	578	401
CLUG_00013	Supercontig_1.1	21332	22849	-	1518	1062	138	537	360	1258	1031	592	683	1057	1007
CLUG_00014	Supercontig_1.1	22958	24043	+	1086	563	96	526	342	826	690	505	493	637	549
CLUG_00015	Supercontig_1.1	24260	25897	+	1638	121	14	173	142	126	78	166	187	92	76
CLUG_00016	Supercontig_1.1	26120	27070	+	951	944	134	699	435	722	439	721	900	659	561
CLUG_00017	Supercontig_1.1	27222	28229	+	1008	2817	497	2045	1669	3186	2209	2205	2132	2690	2170
CLUG_00018	Supercontig_1.1	28494	29960	+	1467	97443	14125	67952	42779	86809	68271	68658	56481	72442	62669
CLUG_00019	Supercontig_1.1	30601	31695	+	1095	1651	166	2139	2293	1188	1452	1663	2365	1772	1815
CLUG_00020	Supercontig_1.1	32233	33246	+	1014	635	102	323	242	730	734	290	541	861	811
CLUG_00021	Supercontig_1.1	33362	33796	+	435	1423	202	1092	818	1066	1018	968	1146	1013	1069
CLUG_00022	Supercontig_1.1	33909	34898	-	990	4308	528	3069	2351	4461	3656	2721	3153	3613	3173
CLUG_00023	Supercontig_1.1	35244	35696	+	453	7757	1081	8363	7483	12067	10323	6105	6624	8399	7510
CLUG_00024	Supercontig_1.1	35948	36613	-	666	2615	314	2136	1438	1838	1559	1537	1893	1832	1894
CLUG_00025	Supercontig_1.1	37855	39225	-	1371	965	171	575	467	1211	1510	554	856	1093	1032
CLUG_00026	Supercontig_1.1	39390	43595	-	4206	1350	221	749	649	1454	1944	827	1244	1422	1360
CLUG_00027	Supercontig_1.1	46451	48148	+	1698	1120	211	723	823	481	592	1657	2170	1252	2205
CLUG_00028	Supercontig_1.1	49448	50305	-	858	31	8	33	28	10	4	41	16	11	12
CLUG_00029	Supercontig_1.1	51090	52448	+	1359	1956	367	1601	859	1938	1303	1948	1652	1714	1271
CLUG_00030	Supercontig_1.1	53513	54106	-	594	10513	1434	8992	5661	24644	25449	7601	9465	17688	16114
CLUG_00031	Supercontig_1.1	55204	55410	+	207	247	68	322	292	389	303	320	314	431	394
CLUG_00032	Supercontig_1.1	57033	58259	+	1227	2525	517	2877	2578	2946	2785	3279	3405	3910	3965
CLUG_00033	Supercontig_1.1	58955	59665	+	711	549	96	468	330	500	376	532	454	576	527
CLUG_00034	Supercontig_1.1	59720	62110	-	2391	18886	3253	22849	14681	9798	6234	17065	13445	12255	11502
CLUG_00035	Supercontig_1.1	62254	65070	-	2817	4022	604	3120	2312	2986	2432	2939	3069	3216	2668
CLUG_00036	Supercontig_1.1	65219	70888	-	5670	3308	523	2084	1287	1637	1330	2047	2433	2047	1879
CLUG_00037	Supercontig_1.1	71277	72500	-	1224	1831	257	1199	845	1408	1073	1297	1479	1490	1093
CLUG_00038	Supercontig_1.1	73589	74386	+	798	617	77	537	318	740	1153	783	659	706	708
CLUG_00039	Supercontig_1.1	74478	75668	-	1191	1174	134	512	361	859	786	497	668	778	643
CLUG_00040	Supercontig_1.1	77018	77572	+	555	204	30	125	72	209	188	156	140	196	144
CLUG_00041	Supercontig_1.1	77926	79305	+	1380	1513	199	837	632	1347	1002	909	1099	1338	902
CLUG_00042	Supercontig_1.1	79518	80606	+	1089	1295	132	633	412	3533	4456	541	923	1876	1811
CLUG_00043	Supercontig_1.1	80669	83119	-	2451	2046	264	922	782	1833	1301	1045	1386	1599	1201
CLUG_00044	Supercontig_1.1	83319	85826	-	2508	2595	311	988	993	2119	2100	1177	2005	2033	1607
CLUG_00045	Supercontig_1.1	86480	87139	+	660	603	70	193	123	836	1069	346	456	693	900
CLUG_00046	Supercontig_1.1	87311	88528	+	1218	996	176	664	355	1219	1141	608	683	743	674
CLUG_00047	Supercontig_1.1	89098	90540	+	1443	7002	1386	5978	4057	7905	4916	5745	4961	4818	3069
