# Program:featureCounts v1.6.0; Command:"featureCounts" "-g" "gene_id" "-T" "8" "-G" "genome/candida_lusitaniae_ATCC42720_w_CBS_6936_MT.fasta" "-s" "1" "-a" "genome/candida_lusitaniae_1_transcripts.gtf" "--tmpDir" "/scratch" "-o" "results/featureCounts/U5C_benomyl.r2.gsnap_reads.tab" "-F" "GTF" "aln/U5C_benomyl.r2.gsnap.bam" 
Geneid	Chr	Start	End	Strand	Length	aln/U5C_benomyl.r2.gsnap.bam
CLUG_00001	Supercontig_1.1	1941	3782	+	1842	10346
CLUG_00002	Supercontig_1.1	3922	5346	+	1425	945
CLUG_00003	Supercontig_1.1	5729	7495	+	1767	74
CLUG_00004	Supercontig_1.1	8045	9796	+	1752	182
CLUG_00005	Supercontig_1.1	10224	11336	-	1113	254
CLUG_00006	Supercontig_1.1	11347	12300	-	954	198
CLUG_00075	Supercontig_1.1	147130	148119	-	990	69751
CLUG_00076	Supercontig_1.1	148071	148763	-	693	33990
CLUG_00077	Supercontig_1.1	150607	152544	+	1938	2104
CLUG_00078	Supercontig_1.1	153833	154918	+	1086	1349
CLUG_00079	Supercontig_1.1	155064	155483	-	420	200
CLUG_00080	Supercontig_1.1	155917	157935	+	2019	1750
CLUG_00081	Supercontig_1.1	157970	159511	-	1542	940
CLUG_00082	Supercontig_1.1	159707	161170	-	1464	742
CLUG_00083	Supercontig_1.1	161919	163499	+	1581	470
CLUG_00084	Supercontig_1.1	163680	164471	+	792	558
CLUG_00085	Supercontig_1.1	164579	165301	-	723	18301
CLUG_00086	Supercontig_1.1	165317	166945	-	1629	7593
CLUG_00087	Supercontig_1.1	167980	169956	-	1977	10354
CLUG_00088	Supercontig_1.1	170176	173421	-	3246	2108
CLUG_00089	Supercontig_1.1	173775	175991	+	2217	553
CLUG_00090	Supercontig_1.1	176125	177135	-	1011	967
CLUG_00091	Supercontig_1.1	178140	179099	-	960	785
CLUG_00092	Supercontig_1.1	179594	180043	+	450	575
CLUG_00093	Supercontig_1.1	180843	182039	+	1197	2599
CLUG_00094	Supercontig_1.1	182979	183533	+	555	184
CLUG_00095	Supercontig_1.1	184149	185657	+	1509	927
CLUG_00096	Supercontig_1.1	185706	186737	-	1032	1475
CLUG_00097	Supercontig_1.1	187035	189725	-	2691	581
CLUG_00098	Supercontig_1.1	190594	191991	-	1398	320
CLUG_00099	Supercontig_1.1	192896	194734	+	1839	924
CLUG_00100	Supercontig_1.1	195003	195854	-	852	414
CLUG_00101	Supercontig_1.1	196468	197757	-	1290	175
CLUG_00102	Supercontig_1.1	198246	198767	+	522	126
CLUG_00103	Supercontig_1.1	200067	200873	+	807	408
CLUG_00104	Supercontig_1.1	200940	201509	-	570	184
CLUG_00105	Supercontig_1.1	203136	204797	+	1662	530
CLUG_00106	Supercontig_1.1	205480	208425	+	2946	131
CLUG_00107	Supercontig_1.1	208472	209161	-	690	73
CLUG_00108	Supercontig_1.1	209527	210027	-	501	392
CLUG_00109	Supercontig_1.1	210910	212751	-	1842	1100
CLUG_00110	Supercontig_1.1	213068	213562	+	495	351
CLUG_00111	Supercontig_1.1	213572	215308	-	1737	724
CLUG_00112	Supercontig_1.1	218337	218957	-	621	1024
CLUG_00113	Supercontig_1.1	219483	220376	-	894	593
CLUG_00114	Supercontig_1.1	220901	221587	+	687	10419
CLUG_00115	Supercontig_1.1	220922	221587	-	666	9313
CLUG_00116	Supercontig_1.1	222258	225437	+	3180	2711
CLUG_00117	Supercontig_1.1	225983	228367	-	2385	1049
CLUG_00118	Supercontig_1.1	228655	230724	-	2070	2515
CLUG_00119	Supercontig_1.1	231288	232178	+	891	787
CLUG_00120	Supercontig_1.1	232513	233979	+	1467	1155
CLUG_00121	Supercontig_1.1	234184	236247	-	2064	10509
